"","normal","uniform","pois"
"1",1.12102071844268,0.421784286852926,8
"2",-1.21457140936831,0.190183756640181,18
"3",-0.680331104341366,0.519870735472068,11
"4",-0.657332548061497,0.283306188182905,5
"5",-0.169782136030595,0.756443259306252,5
"6",-1.68738742561312,0.498020608909428,10
"7",0.53223995069756,0.0759117158595473,7
"8",0.673123136951356,0.687304793158546,11
"9",-0.281453159847635,0.899701134767383,16
"10",0.186207908221756,0.439745423384011,12
"11",0.263141263540363,0.535643151728436,9
"12",1.2225167909439,0.148466665297747,14
"13",0.427712351760281,0.34241177723743,13
"14",0.615516205238334,0.93075454630889,14
"15",0.95442860668939,0.859331279294565,9
"16",0.642294381336415,0.763530314201489,11
"17",1.18988336730623,0.908162578707561,7
"18",-0.404913596533246,0.33984799659811,12
"19",0.987475871092091,0.903624342987314,12
"20",1.74105022712235,0.233957074582577,12
"21",2.62289936760229,0.402294511906803,6
"22",2.05522476372637,0.0263022189028561,9
"23",0.992732241218605,0.752267115283757,10
"24",0.525558875678591,0.508986664470285,11
"25",0.868964866443203,0.338997927727178,13
"26",-0.0307470082879918,0.766360962064937,11
"27",0.745724469307139,0.116427856497467,10
"28",0.637667982728535,0.709477546624839,12
"29",0.0407303609829394,0.812148248311132,12
"30",-0.771718998624332,0.0107635736931115,10
"31",-0.891001601011376,0.512349071446806,5
"32",-0.155347066956627,0.221002966864035,6
"33",0.0767692614825768,0.283576406072825,6
"34",2.39099081118105,0.167606775416061,10
"35",1.10636867393715,0.0623969023581594,13
"36",-0.0115168299487797,0.501107908785343,11
"37",-0.694505480801115,0.298787268344313,14
"38",-0.847093934111491,0.808209688868374,10
"39",0.254070037726232,0.42415548954159,10
"40",-1.44229877676014,0.358301150146872,11
"41",0.378341135637567,0.532743624644354,6
"42",2.00492904121891,0.594385662581772,8
"43",1.38417041122944,0.288277091924101,13
"44",-1.37374576327772,0.897686734097078,9
"45",-0.222560692505013,0.901680512586609,19
"46",-0.790466687045947,0.464050635462627,18
"47",-0.170931755945966,0.782992762513459,16
"48",-1.41717018215854,0.901885054074228,13
"49",-0.203037899089931,0.176253309240565,10
"50",-1.31441611856923,0.57580172480084,10
"51",1.55379300918161,0.629287757910788,11
"52",0.989021094721032,0.841900522587821,12
"53",-0.830654668886352,0.273781661409885,10
"54",0.846456200978615,0.680637445533648,6
"55",0.140298266681472,0.731676555005834,7
"56",-0.331054174060311,0.59953058604151,4
"57",1.25905011027103,0.821422219043598,15
"58",0.308942675908976,0.19899101392366,20
"59",0.430911733289145,0.433426899136975,13
"60",0.490542899906825,0.286305993795395,7
"61",-0.029782744880857,0.896547069540247,6
"62",-1.01388690733251,0.645837953779846,7
"63",0.440184834215854,0.777280516223982,8
"64",0.146184835950347,0.329429320292547,15
"65",-1.53994901161881,0.24888780224137,13
"66",1.86898545602451,0.582909462507814,7
"67",-1.09873715828081,0.922844639979303,6
"68",1.41549505684724,0.229288535891101,12
"69",-0.826568127843507,0.612863349495456,12
"70",1.46213223565236,0.548724710941315,13
"71",1.90978276160884,0.143619594629854,9
"72",-0.0129796303180393,0.337524331174791,14
"73",1.63891204531934,0.796206501778215,14
"74",1.06967147905564,0.313069575000554,9
"75",0.520985262562111,0.366002124967054,8
"76",-0.21968335681978,0.503363525262102,19
"77",-0.823634497696513,0.837125966325402,6
"78",0.72258088864624,0.573175800265744,10
"79",-0.517733040902232,0.0836258057970554,12
"80",-2.15633269218511,0.940740323625505,9
"81",0.58721082712469,0.537135525606573,12
"82",-0.436016302588466,0.309333798708394,13
"83",-0.844264424555136,0.289169574156404,12
"84",0.840127663704279,0.497483615763485,10
"85",-0.89475029606926,0.167688451474532,10
"86",2.06741754037399,0.750663594575599,10
"87",-0.483444400555823,0.276671207044274,2
"88",-0.21639810782017,0.266517631011084,16
"89",-0.197455205691565,0.309001280926168,4
"90",-0.12232103899425,0.573606492718682,8
"91",-0.91678499937187,0.675513981608674,7
"92",-0.121384231436722,0.274524139007553,10
"93",-1.26247043734716,0.239764499012381,11
"94",-0.91441050466202,0.839384632883593,9
"95",0.640688315467177,0.0227150477003306,9
"96",-1.38876104108177,0.763622037600726,6
"97",-0.126778956131244,0.953763344557956,11
"98",1.16598576187788,0.732839435338974,6
"99",-0.96815471248901,0.428820622386411,10
"100",0.0232572454699413,0.940498990006745,9
